"","Cod_setor","Cod_Grandes Regiões","Nome_Grande_Regiao","Cod_UF","Nome_da_UF","Cod_meso","Nome_da_meso","Cod_micro","Nome_da_micro","Cod_RM","Nome_da_RM","Cod_municipio","Nome_do_municipio","Cod_distrito","Nome_do_distrito","Cod_subdistrito","Nome_do_subdistrito","Cod_bairro","Nome_do_bairro","Situacao_setor.x","Tipo_setor","V001.x","V002.x","V003.x","V004.x","V005.x","V006.x","V007.x","V008.x","V009.x","V010.x","V011.x","V012.x","X34","Situacao_setor.y","V001.y","V002.y","V003.y","V004.y","V005.y","V006.y","V007.y","V008.y","V009.y","V010.y","V011.y","V012.y","V013","V014","V015","V016","V017","V018","V019","V020","V021","V022","V023","V024","V025","V026","V027","V028","V029","V030","V031","V032","V033","V034","V035","V036","V037","V038","V039","V040","V041","V042","V043","V044","V045","V046","V047","V048","V049","V050","V051","V052","V053","V054","V055","V056","V057","V058","V059","V060","V061","V062","V063","V064","V065","V066","V067","V068","V069","V070","V071","V072","V073","V074","V075","V076","V077","V078","V079","V080","V081","V082","V083","V084","V085","V086","V087","V088","V089","V090","V091","V092","V093","V094","V095","V096","V097","V098","V099","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","X244","Mulheres","Homens","Responsavel"
"1",250970105000001,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,196,534,2.72,2.14,1066.53,4431625.52,1282.45,5055742.93,755.23,2442303.9,1075.36,3135366.13,NA,1,196,196,"191","0","5","118","0","62","0","16","0","187","2","0","7","196","187","1","0","0","0","8","0","194","140","40","8","4","1","1","0","0","0","2","196","196","0","0","0","0","0","0","196","196","0","0","180","6","10","47","49","47","31","11","8","3","0","0","0","49","17","16","10","10","0","2","1","16","1","0","0","0","0","0","15","4","2","0","0","0","33","37","21","11","6","2","31","23","12","6","2","1","0","10","7","0","0","1","0","118","0","57","0","16","0","182","2","0","7","191","182","1","0","0","0","8","0","189","135","40","8","6","2","191","191","0","0","0","0","0","0","191","191","0","0","178","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","5","5","0","0","0","0","0","0","5","5","0","0","0","0","5","5","0","0","0","0","0","0","5","5","0","0","2","0","3","187","2","0","7","196","187","1","0","0","0","8","0","194","0","0","0","0","0","0","0","0","0","0","0","0",NA,203,77,"Mulheres"
"2",250970105000002,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,219,669,3.05,2.19,969.68,2046007.3,1035.9,2117483.69,539.24,1001384.07,787.26,1267398.28,NA,1,219,219,"213","1","5","140","0","64","0","12","3","213","2","0","4","219","146","10","55","0","0","8","0","219","173","41","5","0","0","0","0","0","0","0","216","213","3","1","0","0","0","2","219","219","0","0","216","3","0","35","54","45","51","22","8","3","1","0","0","32","27","21","30","30","13","3","4","25","2","0","0","0","0","0","19","15","4","3","0","0","33","15","21","9","5","0","10","18","6","6","1","0","0","15","5","1","1","0","0","136","0","62","0","12","3","207","2","0","4","213","140","10","55","0","0","8","0","213","169","39","5","0","0","210","207","3","1","0","0","0","2","213","213","0","0","211","2","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","3","0","2","0","0","0","5","0","0","0","5","5","0","0","0","0","0","0","5","3","2","0","0","0","5","5","0","0","0","0","0","0","5","5","0","0","4","1","0","212","2","0","2","216","146","9","53","0","0","8","0","216","1","0","0","2","3","0","1","2","0","0","0","0",NA,146,169,"Homens"
"3",250970105000003,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,293,871,2.97,2.91,2345.36,12461810.37,2489.82,12871187.43,1574.65,95373783.38,2302.78,137878368.01,NA,1,293,293,"269","0","24","191","1","82","2","17","0","268","18","0","7","293","258","5","28","0","0","2","0","293","130","105","42","10","4","1","1","0","0","0","293","291","2","0","0","0","0","0","291","291","0","2","284","6","1","50","84","74","44","16","15","2","5","1","2","67","16","41","46","23","11","7","2","13","2","1","0","0","0","0","39","25","3","0","0","0","43","28","21","5","8","8","37","23","9","7","0","0","0","20","8","2","0","0","0","184","1","68","1","15","0","245","17","0","7","269","237","5","26","0","0","1","0","269","115","98","40","16","0","269","267","2","0","0","0","0","0","267","267","0","2","264","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","14","1","2","0","23","1","0","0","24","21","0","2","0","0","1","0","24","15","7","2","0","0","24","24","0","0","0","0","0","0","24","24","0","0","20","3","1","268","18","0","7","293","258","5","28","0","0","2","0","293","0","0","0","0","0","0","0","0","0","0","0","0",NA,219,213,"Mulheres"
"4",250970105000004,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,348,1055,3.03,1.82,1129.33,2431036.31,1259.64,2547773.74,650.97,1448243.83,1071.55,1934150.89,NA,1,357,348,"343","2","3","239","1","86","2","20","0","325","16","1","6","347","323","0","24","0","0","0","1","347","207","103","29","6","1","1","0","0","0","1","348","348","0","0","0","0","0","0","348","348","0","0","348","0","0","45","87","90","82","33","6","3","2","0","0","56","19","36","53","57","25","5","2","19","0","0","0","0","0","0","36","22","19","1","0","0","51","37","25","8","1","3","26","32","16","7","0","0","1","19","8","3","0","0","0","236","1","84","2","20","0","320","16","1","6","342","318","0","24","0","0","0","1","342","203","103","28","8","1","343","343","0","0","0","0","0","0","343","343","0","0","343","0","0","1","0","1","0","0","0","2","0","0","0","2","2","0","0","0","0","0","0","2","1","0","1","0","0","2","2","0","0","0","0","0","0","2","2","0","0","2","0","0","2","0","1","0","0","0","3","0","0","0","3","3","0","0","0","0","0","0","3","3","0","0","0","0","3","3","0","0","0","0","0","0","3","3","0","0","3","0","0","325","16","1","6","347","323","0","24","0","0","0","1","347","0","0","0","0","0","0","0","0","0","0","0","0",NA,237,275,"Homens"
"5",250970105000005,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,273,870,3.19,2.23,819.73,1175114.56,860.72,1198683.27,480.96,656330.38,679.94,792841.12,NA,1,273,273,"273","0","0","193","2","52","0","26","0","266","1","0","6","272","246","0","21","1","4","0","1","272","223","47","2","0","0","0","0","0","0","1","273","273","0","0","0","0","0","0","269","269","0","4","258","10","1","34","60","76","54","32","12","2","1","2","0","31","19","40","58","40","21","10","4","16","3","0","0","0","0","0","37","29","10","3","0","0","20","18","14","11","2","1","18","12","4","1","0","0","0","8","4","1","0","0","0","193","2","52","0","26","0","266","1","0","6","272","246","0","21","1","4","0","1","272","223","47","2","0","1","273","273","0","0","0","0","0","0","269","269","0","4","258","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266","1","0","6","272","246","0","21","1","4","0","1","272","0","0","0","0","0","0","0","0","0","0","0","0",NA,114,271,"Homens"
"6",250970105000006,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,202,643,3.18,2.19,630,902207.17,691.63,948090.45,365.79,465973.11,610.8,628960.78,NA,1,202,202,"202","0","0","139","0","56","0","7","0","196","3","0","3","202","198","3","1","0","0","0","0","202","150","48","3","1","0","0","0","0","0","0","202","200","2","0","0","0","0","0","202","202","0","0","191","8","3","22","46","62","39","22","4","4","2","1","0","33","5","19","32","19","17","2","4","4","1","0","0","0","0","0","18","18","8","0","0","0","27","30","20","5","2","3","18","17","12","4","0","0","0","10","4","0","1","0","0","139","0","56","0","7","0","196","3","0","3","202","198","3","1","0","0","0","0","202","150","48","3","1","0","202","200","2","0","0","0","0","0","202","202","0","0","191","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","3","0","3","202","198","3","1","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","0",NA,153,142,"Mulheres"
"7",250970105000007,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,232,728,3.14,3.72,379.1,120294.84,410.99,117294.03,237.9,108786.84,371.27,120287.9,NA,1,232,232,"232","0","0","152","0","50","2","28","0","226","0","0","6","227","208","16","0","3","0","0","5","223","213","10","0","0","0","0","0","0","0","9","232","232","0","0","0","0","0","0","230","230","0","2","220","1","9","37","67","53","35","14","12","6","5","1","2","39","20","24","21","19","4","4","4","16","2","2","0","0","0","0","22","12","1","1","0","0","43","32","16","10","8","10","21","33","16","6","1","0","0","10","6","2","0","0","0","152","0","50","2","28","0","226","0","0","6","227","208","16","0","3","0","0","5","223","213","10","0","0","9","232","232","0","0","0","0","0","0","230","230","0","2","220","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","226","0","0","6","227","208","16","0","3","0","0","5","223","0","0","0","0","0","0","0","0","0","0","0","0",NA,214,132,"Mulheres"
"8",250970105000008,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,305,1032,3.38,2.82,415.86,201507.79,469.77,202308.11,253.16,152814.56,422.74,183550.61,NA,1,305,305,"303","0","2","192","2","48","1","62","0","284","3","0","18","304","262","7","5","8","2","20","1","302","281","21","0","0","0","0","0","0","0","3","303","302","1","2","0","0","0","0","301","301","0","4","284","10","7","34","68","63","80","34","14","5","4","0","3","33","19","20","35","40","17","5","5","16","2","1","0","0","0","0","18","14","8","2","0","0","48","28","40","17","9","7","18","34","15","7","3","0","0","14","1","0","0","0","0","190","2","48","1","62","0","282","3","0","18","302","260","7","5","8","2","20","1","300","279","21","0","0","3","301","300","1","2","0","0","0","0","299","299","0","4","283","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","0","0","2","2","0","0","0","0","2","2","0","0","0","0","0","0","2","2","0","0","1","1","0","282","3","0","18","302","261","6","5","8","2","20","1","300","2","0","0","0","2","1","1","0","0","0","0","0",NA,241,183,"Mulheres"
"9",250970105000009,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,192,613,3.19,1.86,708.42,1165861.3,800.1,1243844.53,403.48,544863.17,635.56,711264.4,NA,1,192,192,"192","0","0","135","0","34","0","23","0","187","1","1","3","192","191","1","0","0","0","0","0","192","144","43","4","1","0","0","0","0","0","0","192","192","0","0","0","0","0","0","192","192","0","0","192","0","0","17","47","53","47","18","7","1","2","0","0","25","11","26","29","36","12","3","3","9","1","1","0","0","0","0","25","13","9","3","0","0","21","24","11","6","4","0","8","13","5","3","0","0","0","8","9","0","0","0","0","135","0","34","0","23","0","187","1","1","3","192","191","1","0","0","0","0","0","192","144","43","4","1","0","192","192","0","0","0","0","0","0","192","192","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","1","1","3","192","191","1","0","0","0","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0",NA,112,170,"Homens"
"10",250970105000010,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental","00","Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,193,576,2.98,1.93,977.78,3118744.15,1031.21,3234703.1,582.97,1589100.48,904.06,2175856.57,NA,1,193,193,"181","1","11","127","3","42","0","21","0","188","2","0","3","192","192","0","0","0","0","0","1","190","119","53","16","1","1","0","0","0","0","3","192","191","1","0","0","1","0","0","193","193","0","0","190","3","0","24","59","44","40","17","8","0","0","1","0","28","12","35","27","28","10","6","0","9","3","0","0","0","0","0","32","12","7","2","0","0","24","17","12","7","2","1","15","14","5","0","0","0","0","10","2","1","0","0","0","120","3","37","0","21","0","176","2","0","3","180","180","0","0","0","0","0","1","178","112","49","15","2","3","180","179","1","0","0","1","0","0","181","181","0","0","180","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","7","0","4","0","0","0","11","0","0","0","11","11","0","0","0","0","0","0","11","6","4","1","0","0","11","11","0","0","0","0","0","0","11","11","0","0","9","2","0","187","2","0","3","191","191","0","0","0","0","0","1","189","1","0","0","0","1","1","0","0","0","0","0","0",NA,110,171,"Homens"
