"","Cod_setor","Cod_Grandes Regiões","Nome_Grande_Regiao","Cod_UF","Nome_da_UF","Cod_meso","Nome_da_meso","Cod_micro","Nome_da_micro","Cod_RM","Nome_da_RM","Cod_municipio","Nome_do_municipio","Cod_distrito","Nome_do_distrito","Cod_subdistrito","Nome_do_subdistrito","Cod_bairro","Nome_do_bairro","Situacao_setor.x","Tipo_setor","V001.x","V002.x","V003.x","V004.x","V005.x","V006.x","V007.x","V008.x","V009.x","V010.x","V011.x","V012.x","X34","Situacao_setor.y","V001.y","V002.y","V003.y","V004.y","V005.y","V006.y","V007.y","V008.y","V009.y","V010.y","V011.y","V012.y","V013","V014","V015","V016","V017","V018","V019","V020","V021","V022","V023","V024","V025","V026","V027","V028","V029","V030","V031","V032","V033","V034","V035","V036","V037","V038","V039","V040","V041","V042","V043","V044","V045","V046","V047","V048","V049","V050","V051","V052","V053","V054","V055","V056","V057","V058","V059","V060","V061","V062","V063","V064","V065","V066","V067","V068","V069","V070","V071","V072","V073","V074","V075","V076","V077","V078","V079","V080","V081","V082","V083","V084","V085","V086","V087","V088","V089","V090","V091","V092","V093","V094","V095","V096","V097","V098","V099","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","X244","Mulheres","Homens","Responsavel"
"1",251370305000001,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,155,512,3.3,1.5,1027.23,2688168.15,1105.7,2807580.15,589.24,1195541.9,913.83,1558786.88,NA,1,155,155,"153","1","1","104","30","14","3","4","0","137","14","0","4","155","72","64","19","0","0","0","0","155","60","82","10","3","0","0","0","0","0","0","155","155","0","0","0","0","0","0","155","155","0","0","154","0","1","8","31","51","46","13","3","2","1","0","0","11","4","27","40","40","13","3","2","4","0","0","0","0","0","0","27","23","7","1","0","0","4","11","6","0","0","1","4","2","4","1","0","0","0","2","4","1","0","0","0","103","30","14","3","3","0","135","14","0","4","153","70","64","19","0","0","0","0","153","59","81","10","3","0","153","153","0","0","0","0","0","0","153","153","0","0","152","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","137","14","0","4","155","72","64","19","0","0","0","0","155","0","0","0","0","0","0","0","0","0","0","0","0",NA,40,187,"Homens"
"2",251370305000002,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,172,659,3.83,3.37,354.49,242161.87,648.64,252416.88,205.78,118767.59,510.85,139083.66,NA,1,177,172,"171","0","0","119","1","50","1","1","0","172","0","0","0","172","5","0","167","0","0","0","0","162","151","11","0","0","0","0","0","0","0","10","172","172","0","0","0","0","0","0","172","172","0","0","167","4","1","7","35","44","38","22","11","3","9","1","2","15","6","25","23","24","15","6","8","5","1","0","0","0","0","0","24","10","7","1","0","0","10","21","14","7","5","7","2","4","6","1","0","0","0","6","3","4","0","0","0","119","1","50","0","1","0","171","0","0","0","171","5","0","166","0","0","0","0","162","151","11","0","0","9","171","171","0","0","0","0","0","0","171","171","0","0","166","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172","0","0","0","172","5","0","167","0","0","0","0","162","0","0","0","0","0","0","0","0","0","0","0","0",NA,90,149,"Homens"
"3",251370305000003,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,251,865,3.45,1.8,701.65,219907.92,746.25,200523.13,398.31,197534.01,641.57,162026.35,NA,1,251,251,"251","0","0","176","20","53","0","2","0","223","25","0","3","251","0","0","251","0","0","0","0","251","174","70","6","0","0","1","0","0","0","0","251","251","0","0","0","0","0","0","250","250","0","1","233","17","0","14","52","68","64","34","16","3","0","0","0","22","6","40","43","52","25","10","2","4","1","1","0","0","0","0","39","16","15","1","1","0","12","25","12","9","6","1","10","7","9","2","0","0","0","5","5","2","0","0","0","176","20","53","0","2","0","223","25","0","3","251","0","0","251","0","0","0","0","251","174","70","6","1","0","251","251","0","0","0","0","0","0","250","250","0","1","233","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","223","25","0","3","251","0","0","251","0","0","0","0","251","0","0","0","0","0","0","0","0","0","0","0","0",NA,105,250,"Homens"
"4",251370305000004,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,197,696,3.53,2.72,749.23,701725.57,815.46,709792.46,409.99,360197.57,689.73,413164.43,NA,1,197,197,"194","3","0","148","7","32","0","8","2","196","1","0","0","197","6","1","190","0","0","0","0","196","123","66","7","0","0","0","0","0","0","1","196","196","0","1","0","0","0","0","197","197","0","0","188","6","3","14","41","51","49","21","10","5","5","0","1","19","11","22","31","31","14","5","7","9","2","0","0","0","0","0","20","13","6","3","0","0","19","20","18","7","5","4","5","10","5","3","0","0","0","9","5","0","0","0","0","148","6","30","0","8","2","193","1","0","0","194","6","1","187","0","0","0","0","193","120","66","7","0","1","193","193","0","1","0","0","0","0","194","194","0","0","186","5","3","0","1","2","0","0","0","3","0","0","0","3","0","0","3","0","0","0","0","3","3","0","0","0","0","3","3","0","0","0","0","0","0","3","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","1","0","0","196","6","1","189","0","0","0","0","195","1","0","0","0","1","0","0","1","0","0","0","0",NA,110,163,"Homens"
"5",251370305000005,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,244,855,3.5,2.4,682.49,512420.03,808.39,505135.45,380.7,297130.43,670.15,329149.46,NA,1,244,244,"230","6","4","116","72","51","2","3","0","219","20","0","5","244","10","0","233","0","0","1","0","240","156","76","5","2","1","0","0","0","0","4","219","204","15","1","0","24","0","0","244","243","1","0","218","24","1","15","41","79","68","20","11","4","1","4","1","16","9","30","50","55","13","8","7","7","1","0","1","0","0","0","29","21","3","0","1","0","11","29","13","7","3","3","8","11","13","5","0","0","0","0","7","0","1","0","0","113","71","41","2","3","0","206","19","0","5","230","6","0","224","0","0","0","0","230","147","75","5","3","0","205","191","14","1","0","24","0","0","230","230","0","0","212","17","1","2","1","3","0","0","0","6","0","0","0","6","0","0","6","0","0","0","0","6","6","0","0","0","0","6","5","1","0","0","0","0","0","6","6","0","0","3","3","0","0","0","4","0","0","0","3","1","0","0","4","4","0","0","0","0","0","0","4","3","1","0","0","0","4","4","0","0","0","0","0","0","4","4","0","0","3","1","0","212","7","0","0","219","10","0","208","0","0","1","0","215","7","13","0","5","25","0","0","25","0","0","0","0",NA,111,226,"Homens"
"6",251370305000006,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,221,840,3.8,2.79,1079.96,2455063.06,1217.71,2601213.79,578.29,1132382.81,950.94,1508613.27,NA,1,221,221,"220","1","0","175","2","36","3","5","0","108","103","0","10","220","2","98","104","14","1","1","1","171","100","30","24","11","3","3","0","0","0","50","196","190","6","10","0","15","0","0","220","206","14","1","196","9","1","10","40","54","55","31","15","8","5","3","0","12","15","30","34","37","26","10","11","7","7","0","1","0","0","0","23","18","11","1","3","0","10","20","18","5","5","5","3","9","7","2","0","0","0","1","5","2","0","1","0","175","2","36","2","5","0","108","103","0","9","219","2","98","103","14","1","1","1","170","100","30","23","17","50","195","189","6","10","0","15","0","0","219","205","14","1","196","8","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","85","0","7","195","2","77","102","13","1","0","1","161","4","18","0","3","25","0","21","2","1","0","1","0",NA,93,219,"Homens"
"7",251370305000007,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,249,951,3.82,3.62,511.62,1618078.08,561.2,1747640.22,293.18,645536.32,456.61,931370.61,NA,1,250,249,"224","25","0","145","1","56","3","44","0","224","11","0","14","248","5","7","219","17","0","0","1","214","202","8","2","2","0","0","0","0","0","35","195","195","0","9","0","45","0","0","249","241","8","0","156","44","41","21","43","50","58","47","8","9","6","5","2","16","12","29","38","37","34","7","15","11","1","0","0","0","0","0","28","19","13","6","0","0","14","12","21","13","1","7","10","11","5","5","0","0","0","3","2","1","0","0","0","140","1","36","3","44","0","206","11","0","7","223","5","7","200","11","0","0","1","204","193","7","2","2","20","175","175","0","9","0","40","0","0","224","222","2","0","146","36","40","5","0","20","0","0","0","18","0","0","7","25","0","0","19","6","0","0","0","10","9","1","0","0","15","20","20","0","0","0","5","0","0","25","19","6","0","10","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","181","3","0","11","194","5","4","174","11","0","0","1","175","43","8","0","3","54","0","3","45","6","0","0","0",NA,105,238,"Homens"
"8",251370305000008,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,196,726,3.7,3.54,397.69,97103.36,526.68,60416.89,224.66,85417.79,502.96,51130.44,NA,1,196,196,"196","0","0","143","0","42","1","10","0","196","0","0","0","195","5","0","190","0","0","0","1","195","170","24","1","0","0","0","0","0","0","1","196","196","0","0","0","0","0","0","196","195","1","0","193","2","0","17","28","55","48","23","13","5","3","2","2","11","14","15","33","30","11","6","7","12","1","1","0","0","0","0","14","14","2","1","0","0","13","22","18","12","7","5","5","10","9","4","0","0","0","3","1","1","0","1","0","143","0","42","1","10","0","196","0","0","0","195","5","0","190","0","0","0","1","195","170","24","1","0","1","196","196","0","0","0","0","0","0","196","195","1","0","193","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","0","0","0","195","5","0","190","0","0","0","1","195","0","0","0","0","0","0","0","0","0","0","0","0",NA,111,147,"Homens"
"9",251370305000009,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,349,1281,3.67,3.72,291.11,139625.22,457.64,143303.6,251.1,98670.81,461.77,84147.43,NA,1,349,349,"348","1","0","239","1","67","3","37","2","346","1","0","2","348","4","339","5","0","0","0","1","345","322","21","2","0","0","0","0","0","0","4","349","349","0","0","0","0","0","0","349","348","1","0","245","55","48","40","59","82","70","49","19","18","4","4","4","33","18","4","14","18","3","2","4","17","1","0","0","0","0","0","3","6","4","0","0","0","55","68","52","46","17","26","23","48","29","11","3","0","0","7","1","2","0","0","0","239","1","66","3","37","2","345","1","0","2","347","4","339","4","0","0","0","1","344","321","21","2","0","4","348","348","0","0","0","0","0","0","348","347","1","0","244","55","48","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","346","1","0","2","348","4","339","5","0","0","0","1","345","0","0","0","0","0","0","0","0","0","0","0","0",NA,388,76,"Mulheres"
"10",251370305000010,2,"Região Nordeste",25,"Paraiba",2504,"Mata Paraibana",25022,"João Pessoa","10","RM João Pessoa",2513703,"SANTA RITA",251370305,"SANTA RITA",25137030500,"SANTA RITA",2513703000,"SANTA RITA (todos os setores)",1,0,242,921,3.81,3.39,587.07,283455.48,776.35,227593.65,328,208902.61,674.62,195793.5,NA,1,242,242,"240","0","0","97","92","21","3","6","23","203","23","0","16","240","0","3","209","23","2","3","2","230","156","61","11","1","1","0","0","0","0","12","132","131","1","9","3","97","1","0","238","238","0","4","217","14","7","16","44","49","67","34","14","9","2","4","3","13","17","23","31","46","17","6","5","13","3","1","0","0","0","0","20","10","11","2","0","0","21","18","21","17","8","13","3","15","5","4","1","0","0","6","4","0","0","0","0","97","92","21","3","6","21","203","22","0","15","238","0","3","209","23","1","2","2","230","156","61","11","2","10","132","131","1","9","1","97","1","0","238","238","0","2","217","14","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122","9","0","1","132","0","3","122","6","1","0","0","132","81","14","0","15","108","0","0","87","17","1","3","2",NA,136,188,"Homens"
