"autor","l0","l1","l2","gender"
"Aakanksha Chowdhery","Asian","IndianSubContinent","\N","F"
"Aakanksha Gagrani","Asian","IndianSubContinent","\N","F"
"Aanchal Malhotra","Asian","IndianSubContinent","\N","F"
"Aarati Parmar","Asian","IndianSubContinent","\N","F"
"Aarthi Natarajan","Asian","IndianSubContinent","\N","F"
"Aarthi Sundaram","Asian","IndianSubContinent","\N","F"
"Aarti Gupta","Asian","IndianSubContinent","\N","F"
"Aarti Malhotra","Asian","IndianSubContinent","\N","F"
"Aarti Singh","Asian","IndianSubContinent","\N","F"
"Aastha Jain","Asian","IndianSubContinent","\N","F"
"Aastha Madaan","GreaterAfrican","Muslim","\N","F"
"Abby C. King","Asian","IndianSubContinent","\N","F"
"Abby Lal","GreaterAfrican","Muslim","\N","F"
"Abby Miller","GreaterEuropean","Jewish","\N","F"
"Abdulkareem Alali","GreaterAfrican","Muslim","\N","F"
"Abeer Agrawal","Asian","IndianSubContinent","\N","F"
"Abeer Javed","GreaterAfrican","Muslim","\N","F"
"Abena Primo","GreaterEuropean","Jewish","\N","F"
"Aber Whitcomb","GreaterEuropean","British","\N","F"
"Abha Ahuja","Asian","IndianSubContinent","\N","F"
"Abha Moitra","Asian","IndianSubContinent","\N","F"
"Abhilasha Ravichander","Asian","IndianSubContinent","\N","F"
"Abhinanda Sarkar","Asian","IndianSubContinent","\N","F"
"Abigail C. Durrant","GreaterEuropean","British","\N","F"
"Abigail Cauchi","GreaterEuropean","WestEuropean","French","F"
"Abigail Durrant","GreaterEuropean","British","\N","F"
"Abigail Evans","GreaterEuropean","British","\N","F"
"Abigail Reyes","GreaterEuropean","WestEuropean","Hispanic","F"
"Abigail Sellen","GreaterEuropean","British","\N","F"
"Abigail Travis","GreaterEuropean","British","\N","F"
"Abigale Stangl","GreaterEuropean","Jewish","\N","F"
"Abir Al Hajri","GreaterAfrican","Muslim","\N","F"
"Abir Das","Asian","IndianSubContinent","\N","F"
"Abir De","Asian","IndianSubContinent","\N","F"
"Abir Qasem","GreaterAfrican","Muslim","\N","F"
"Abril I. Rodríguez López","GreaterEuropean","WestEuropean","Hispanic","F"
"Acey Kreisler Boyce","GreaterEuropean","British","\N","F"
"Achla Marathe","Asian","IndianSubContinent","\N","F"
"Ada Diaconescu","GreaterEuropean","WestEuropean","Italian","F"
"Ada Gavrilovska","GreaterEuropean","EastEuropean","\N","F"
"Ada Wai-Chee Fu","Asian","GreaterEastAsian","EastAsian","F"
"Adebola Osuntogun","GreaterAfrican","Africans","\N","F"
"Adele A. Rescigno","GreaterEuropean","WestEuropean","Italian","F"
"Adele E. Howe","GreaterEuropean","British","\N","F"
"Adele Laing","GreaterEuropean","British","\N","F"
"Adele P. Peskin","GreaterEuropean","Jewish","\N","F"
"Adeline Langlois","GreaterEuropean","WestEuropean","French","F"
"Adeline M. M. Samson","GreaterEuropean","Jewish","\N","F"
"Adeline Pierrot","GreaterEuropean","WestEuropean","French","F"
"Adelka Niels","GreaterEuropean","WestEuropean","Nordic","F"
"Adenike M. Lam-Adesina","GreaterAfrican","Muslim","\N","F"
"Adesola Omotayo","GreaterAfrican","Africans","\N","F"
"Adiba Ishak","GreaterAfrican","Muslim","\N","F"
"Adila Krisnadhi","Asian","IndianSubContinent","\N","F"
"Adina Crainiceanu","GreaterEuropean","WestEuropean","Hispanic","F"
"Adinda Freudenthal","GreaterEuropean","Jewish","\N","F"
"Adithi Sampath","Asian","IndianSubContinent","\N","F"
"Aditi Adhikari","Asian","IndianSubContinent","\N","F"
"Aditi Dudeja","GreaterAfrican","Africans","\N","F"
"Aditi Goel","Asian","IndianSubContinent","\N","F"
"Aditi Gupta 0003","Asian","IndianSubContinent","\N","F"
"Aditi Jaitly","Asian","IndianSubContinent","\N","F"
"Aditi Kumar","Asian","IndianSubContinent","\N","F"
"Aditi Majumder","Asian","IndianSubContinent","\N","F"
"Aditi Mithal","Asian","IndianSubContinent","\N","F"
"Aditi Nath","Asian","IndianSubContinent","\N","F"
"Aditi Pandit","Asian","IndianSubContinent","\N","F"
"Aditi Raghunathan","Asian","IndianSubContinent","\N","F"
"Aditi S. Muralidharan","Asian","IndianSubContinent","\N","F"
"Aditi Sharma Grover","GreaterEuropean","British","\N","F"
"Adriana B. Compagnoni","GreaterEuropean","WestEuropean","Italian","F"
"Adriana B. Flores","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Budura","GreaterAfrican","Africans","\N","F"
"Adriana Iamnitchi","GreaterEuropean","EastEuropean","\N","F"
"Adriana Ispas","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Jurca","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Karagiozova","GreaterAfrican","Muslim","\N","F"
"Adriana Kovashka","Asian","IndianSubContinent","\N","F"
"Adriana Lopez","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana López-Alt","GreaterEuropean","WestEuropean","French","F"
"Adriana M. J. B. de Carvalho","GreaterEuropean","British","\N","F"
"Adriana Marotta","GreaterEuropean","WestEuropean","Italian","F"
"Adriana Olmos","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Palacio","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Pereira de Medeiros","GreaterEuropean","WestEuropean","Hispanic","F"
